japanese/_name,japanese/__text,text/_name,text/__text
Japanese,復習,Meaning,review (révision)
Japanese,色々,Meaning,いろいろ/ various
Japanese,住,Meaning,す(む)、ジュウ/ residence
Japanese,動物,Meaning,animal
Japanese,春が近い,Meaning,はるがちかい/ Spring is near
Japanese,黄緑,Meaning,きみどり/ yellow green
Japanese,むし暑い,Meaning,むしあつい/ chaleur étouffante
Japanese,馬車,Meaning,ばしゃ/ carriage (carrosse)
Japanese,泳ぐ,Meaning,およぎます、およいで、およいだ/ swim
Japanese,経,Meaning,"た(つ)、へ(る)、ケイ、キョウ/ pass, go through"
Japanese,軽い,Meaning,light
Japanese,問,Meaning,と(う)、モン/ question (v.)
Japanese,本当,Meaning,true
Japanese,念を押す,Meaning,ねんをおす/ rappeler avec attention
Japanese,質問,Meaning,しつもん/ question
Japanese,黄色,Meaning,きいろ/ yellow
Japanese,折,Meaning,お(る)、セツ/ plier
Japanese,走り書き,Meaning,Scribble (gribouillis)
Japanese,村,Meaning,むら、ソン/ village
Japanese,研究,Meaning,the study (recherche)
Japanese,近い,Meaning,ちかい/ close
Japanese,通る,Meaning,とおります、とおって、とおった/ pass through
Japanese,旅,Meaning,たび、リョ/ Journey
Japanese,赤字,Meaning,あかじ/ deficit
Japanese,渓谷,Meaning,けいこく/ valley
Japanese,様,Meaning,"さま、ヨウ/ Mr, Mme (respectueux, envers un client par exemple)"
Japanese,練,Meaning,"ね(る)、レン/ training, elaborate"
Japanese,京阪地方,Meaning,Région Kyoto-Osaka
Japanese,世,Meaning,よ、セ、セイ/ world
Japanese,真実,Meaning,truth
Japanese,短い,Meaning,short
Japanese,丸い玉,Meaning,まるいたま/ Round ball
Japanese,広,Meaning,ひろ(い)、コウ/ wide
Japanese,小麦,Meaning,こむぎ/ wheat
Japanese,星空,Meaning,ほしぞら/ starry sky
Japanese,待つ,Meaning,まちます、まって、まった/ wait
Japanese,毎度,Meaning,まいど/ Every time
Japanese,病気,Meaning,disease
Japanese,酒を飲む,Meaning,さけをのむ/ drink alcohol
Japanese,才,Meaning,サイ/ talent
